first_party,second_party,facts,first_party_winner
Charles W. Baker et al.,Joe C. Carr et al.,"Charles W Baker and other Tennessee citizens alleged that a 1901 law designed to apportion the seats for the states General Assembly was virtually ignored Bakers suit detailed how Tennessees reapportionment efforts ignored significant economic growth and population shifts within the state
",True
Poe,Ullman,"Paul and Pauline Poe a married couple decided to use contraceptives to prevent a fourth pregnancy after their first three children had died in infancy Another woman Jane Doe sought to obtain access to contraceptives in order to forestall a second pregnancy that could be lifethreatening Since the late 1800s Connecticut had prohibited the distribution and use of medical advice on contraceptives although these laws were not regularly forced The Poes and Doe argued that the laws violated the Fourteenth Amendment 
",False
Braunfeld,Brown,"Abraham Braunfeld owned a retail clothing and home furnishing store in Philadelphia As an Orthodox Jew he was prohibited by his faith from working on Saturday the Sabbath The Pennsylvania blue law only allowed certain stores to remain open for business on Sundays Braunfelds store was not one of those types allowed to be open He challenged the law as a violation of the religious liberty clauses because he needed to be open six days a week for economic reasons and was prohibited from doing so by a tenet of his faith and the blue law
",False
Bruce Boynton,Commonwealth of Virginia,"Bruce Boynton an African American law student bought a Trailways bus ticket from Washington DC to Montgomery Alabama The bus route went through Richmond Virginia where there was a 40minute stop scheduled Boynton entered the segregated restaurant in the bus station and sat on the side reserved for white customers Both a waitress and a manager requested that Boynton move to the other side of the restaurant and he explained that he was an interstate bus passenger and refused A police officer arrived and arrested Boynton He was tried convicted and fined for unlawfully remaining on the premises after being forbidden to do so
Boynton appealed his conviction to the Hustings Court in Richmond where he filed a motion to dismiss and argued that his constitutional rights were violated The Hustings Court denied the motion The Virginia Supreme Court affirmed
",True
McGowan,Maryland,"Several employes of a discount department store sold a few items such as floor wax and looseleaf notebooks to customers on a Sunday By doing so they violated Marylands blue laws which only allow certain items such as drugs tobacco newspapers and some foodstuffs to be sold on Sundays
",False
Harold Beck Kesler,"Department Of Public Safety, Financial Responsibility Division, State of Utah","In June 1957 a Utah court entered a judgment against Harold Kesler for negligently operating a motor vehicle When Kesler failed to pay the judgment for over sixty days the judgments creditors following Utahs Motor Vehicle Safety Responsibility Act UMVSRA filed the unpaid judgments with Utahs Department of Public Safety As a result the Department suspended Keslers drivers license and vehicle registration until he paid his judgment  
In December 1959 Kesler who had still failed to pay the judgment filed for bankruptcy in federal bankruptcy court Although this released him from his judgment debts the Department refused to restore his drivers license and vehicle registration The Department claimed that under the UMVSRA a bankruptcy proceeding will not release debts for negligently operating a motor vehicle  
The United States District Court for the District of Utah affirmed the law and refused to both restore his license and to invalidate Utahs law A direct appeal to the United States Supreme Court followed
",False
Western Union Telegraph Company,Pennsylvania,"Western Union Telegraph Company headquartered and incorporated in New York processed money orders between people living in different states  This case concerns money orders between payors in Pennsylvania and payees in other states  Over the years Western Union accumulated a large sum of money from payees who never claimed the money sent to them  Pennsylvania law states that when property goes unclaimed for seven years and the whereabouts of the owner are unknown that property escheats to the state  The Commonwealth of Pennsylvania started proceedings to escheat the unclaimed money  Western Union argued that Pennsylvania provided insufficient service of process and had no power to protect Western Union from other states who might attempt to escheat the same money  The Court of Common Pleas ruled in favor of Pennsylvania and the Supreme Court of Pennsylvania affirmed
",True
"Mark Coppedge, Jr.",United States,"In early December of 1957 Mark Coppedge broke into a pharmacy and stole property including a check writer and a batch of blank money orders that he filled in forged and cashed He was tried and convicted in district court a year later but he appealed his conviction based on information that corrupted the jury A newspaper published an article regarding a witness who was too afraid of Coppedge to testify which was information relayed to the judge while the jury was out of the room and the jury should not have known Coppedge petitioned the United States Court of Appeals for the DC Circuit for permission to appeal in forma pauperis which would free him from the obligation to pay court costs The Court of Appeals denied the petition
",True
United States,Don Gilmore et ux.,"Don Gilmore was the primary owner and managing officer of three different franchises of General Motors in California In 1955 Don Gilmore and his wife Dixie Gilmore divorced The trial court determined that the divorce was absolute without alimony for Dixie which meant that Don successfully protected his assets from Dixies claims that his assets were community property Dons legal expenses totaled about 40000 for the taxable years of 1953 and 1954 The Internal Revenue Code allows deductions from gross income for ordinary and necessary expenses incurred during the taxable year for the conservation of property held for the production of income
Gilmore sued in the Court of Claims to recover alleged overpayment of income taxes related to the legal expenses incurred during the divorce The Court of Claims held that the legal expenses were attributable to Gilmores successful resistance of his wifes claims to certain assets and were therefore deductible for federal income tax purposes However the Commissioner of Internal Revenue found that these expenditures were personal or family expenses and therefore not deductible The US Supreme Court granted certiorari to address the question in the administration of the tax laws
",True
Glidden Company,Olga Zdanok,"Olga Zdanok and other individual employees of Glidden CompanyGlidden sought to recover damages for breach of collective bargaining agreement in New York state court and then Glidden removed the case to federal district court on the grounds of diversity of citizenship Judge J Warren Madden an active judge on the Court of Claims at the time granted the employees damages Glidden argued that the guarantee in Article III of the Constitution that judges should hold their offices during good behavior meant that Judge Madden displayed a lack of appropriate judicial independence 
Previous judicial precedent had established that the United States Court of Customs and Patent Appeals and the United States Court of Claims were neither confined in jurisdiction nor protected in independence by Article III of the Constitution but that there were created by other powers Congress possessed under Article I Congress had since enacted statutes explicitly including the Court of Claims and the Court of Customs and Patent Appeals in Article III of the Constitution 
",False
John Burrell Garner,Louisiana,"In a number of consolidated cases from Louisiana several defendants were convicted of disturbing the peace by sitting at lunch counters that were reserved for patrons of a different race and refusing to leave Defendants alleged that their convictions were based upon no evidence of guilt and therefore denied them of due process of the law Defendants were denied postconviction relief in the state courts and the Court granted certiorari
",True
"Organized Village of Kake, Angoon Community Association","William A. Egan, Governor of Alaska","The State of Alaska threatened to enforce its antifish trapping law against two local Native American tribes  The federal government had not designated a reservation for the tribes  The tribes depended on the salmon they trapped for survival and received permits to use the traps from the Army Corps of Engineers and the United States Forest Service as well as favorable regulations from the Secretary of the Interior  The president of the Kake Village Council was arrested while trying to moor a trap  The tribes sued to enjoin Alaska from enforcing the antitrapping law  The district court dismissed the suit and the Supreme Court of Alaska affirmed
",False
"Robert Kennedy, Attorney General",Francisco Mendoza-Martinez,"Francisco MendozaMartinez Martinez was an American by birth with dual Mexican citizenship Martinez admitted that to avoid the draft in 1942 he left the United States for Mexico and did not return until November 1946 As a result of his deliberate absence Martinez entered a guilty plea in 1947 to violating Section 11 of the Selective Training and Service Act of 1940 the Act and served 366 days in prison Five years after his release Martinez was issued an arrest and deportation warrant premised on a violation of Section 401j of the Act which divested draft dodgers of their US citizenship Following a dismissal of his appeal from the Attorney Generals special inquiry decision stripping him of his US citizenship Martinez challenged the constitutionality of Section 401j in District Court but was defeated On appeal from the Ninth Circuits opinion upholding the district court decision the Supreme Court granted certiorari This case was decided together with Rusk v Cort
",True
Hoyt,Florida,"A Florida statute automatically exempted women from jury duty and did not place women on jury lists Women could however volunteer and register for jury duty After an allmale jury convicted Mrs Hoyt for murdering her husband she appealed the decision to the Florida Supreme Court The Florida Court upheld the conviction
",False
William Douglas and Bennie Will Meyes,California,"William Douglas and Bennie Will Meyes two indigent men were arrested and charged with thirteen felonies including armed robbery and assault with intent to commit murder   A single public defender represented both defendants  The public defender asked the trial court for a continuance because he was unprepared there was a conflict of interest between the two defendants and Douglas requested a new attorney  The judge denied the request for a continuance The defendants then requested that the public defender be removed from the case  The judge granted that request but denied their request to appoint a new attorney  The defendants completed the trial without any representation  A jury found the defendants guilty of all thirteen felonies 
The defendants appealed  The Second District Court of Appeals for Californias Third District did not appoint counsel to represent the defendants because based on their review of the record appointing counsel would add no benefit to the defendants case  Following this decision that court affirmed the trial courts decision 
",True
Vaughan,Atkinson,"The general maritime law of the United States has long obliged ship owners to indemnify seamen against expenses of injury or illness suffered while on the job aboard ship An ill or injured seaman is entitled to maintenance and cure that is to compensation by his employer for the expenses of his medical treatment and subsistence ie room and board while convalescing ashore Until 1982 a seaman could obtain free medical attention from the US Public Health Service In such a case the USPHS effectively relieved the seamans employer of the duty of cure
At discharge after two voyages on SS National Liberty seaman Clifford Vaughan got a hospitalization certificate from the master NJ Atkinson Vaughan then spent three months in a USPHS hospital and two years as an outpatient undergoing treatment for tuberculosis The ship owner ignored Vaughans request for maintenance as an outpatient For a while before obtaining clearance to return to duty Vaughan worked ashore as a cab driver Later he sued unsuccessfully in federal district court for maintenance and for damages from the ship owners failure to promptly pay including his attorneys fees The US Court of Appeals for the Fourth Circuit affirmed
",True
Wong Sun and James Wah Toy,United States,"Police arrested Hom Way for possession of heroin  While under arrest Way told police that a man named Blackie Toy once sold him an ounce of heroin at his laundry on Leavenworth St  Later that day police found a laundry run by James Wah Toy  Nothing on the record identified Toy as Blackie Toy but police arrested him anyway  Police then went to Toys house where they arrested Johnny Yee and found several tubes containing less than one ounce of heroin Police also arrested Wong Sun  Police interrogated the men and wrote statements in English for them to sign  Both men refused citing errors in the statements  At trial in US District Court Toy and Sun were convicted on federal narcotics charges  On appeal the US Court of Appeals for the Ninth Circuit affirmed 
",True
"Brown Shoe Company, Inc.",United States,"When Brown Shoe Company bought Kinney Company Inc the United States sued Brown for antitrust violations of the Clayton Act  The United States argued that the merger would substantially lessen competition in the shoe manufacturing and sales industries  The US District Court for the Eastern District of Missouri ruled in favor of the United States  The court ordered Brown to divest itself of all Kinney stock and assets and to operate Kinney as separately as possible pending complete divestiture  The court gave Brown 90 days to come up with a plan for complete divestiture  The case reached the Supreme Court on direct appeal under the Expediting Act which allows direct appeal of final district court judgments
",False
"Phil Campbell, Commissioner of Agriculture of Georgia and Georgia Farm Bureau Federation Inc.  ","William Hussey, Jr., et al.","The Federal Tobacco Inspection Act provides uniform standards for classification and inspection of tobacco  The regulations under the Act require sellers to identify type 14 tobacco with a blue tag  The Georgia Tobacco Identification Act requires sellers to mark the same type of tobacco with a white tag  Several owners and operators of tobacco warehouses in Georgia sued in the US District Court for the Southern District of Georgia to enjoin enforcement of the Georgia law  The three judge court granted the injunction  The US Supreme Court heard this case on direct appeal
",False
William Link,Wabash Railroad Company,"On August 24 1954 William Link sued Wabash Railroad company over injuries he received when his car ran into a Wabash Railroad train at a crossing After six years of motions a pretrial hearing was set for October 12 1960 On October 11 1960 Links attorney contacted the Wabash Railroad attorney to inform him that he was doing work in Indianapolis and would miss a deposition that was set to happen before the hearing The next morning Links lawyer called the courthouse to notify the judge that he was detained in Indianapolis filing papers for a case before the Iowa Supreme Court He said he could not make it to court that day but was available both of the next two days Two hours after the pretrial was supposed to start the court found that Links lawyer had not provided a sufficient reason for missing the hearing and dismissed the case for failure to prosecute the action The United States Court of Appeals for the Seventh Circuit affirmed
",False
United States,Borden Company,"The Borden Company and Bowman Dairy Company were both large distributors of milk products based in Chicago Illinois Each company sold dairy products to retail stores under a plan that gave independent stores discounts on the list prices based on the volume of the independent stores purchases up to a specified maximum discount The dairies granted grocery chain stores a flat discount without reference to the volume of their purchases at a rate substantially higher than the maximum discount available to independent grocery stores
The government brought a Section 2a Clayton Act suit against The Borden Company and Bowman Dairy Company seeking an injunction against selling milk products at prices which discriminated between the independent groceries and the chain groceries Each company conducted its own cost study in an attempt to demonstrate that the differences in pricing between independent groceries and chain groceries were due to actual cost differences The cost studies demonstrated that it was less costly on average to sell to chain stores So the dairy companies argued that the price discrimination was justified by the cost justification proviso of the Clayton Act
The United States District Court for the Northern District of Illinois dismissed the Governments suit concluding that the cost differences demonstrated by the two companies cost studies were sufficient to justify the price discrimination The United States appealed the District Courts decision
",True
Hutcheson,United States,"Maurice A Hutcheson a president of a labor union refused to answer eighteen questions before the Senate Select Committee on Improper Activities in the Labor or Management Field Although Hutcheson appeared to be concerned about the state using his words against him in a pending state criminal trial he specifically waived his Fifth Amendment privilege against selfincrimination Instead he argued that the Committee only wanted to expose his wrongful acts and that this exposure would violate his rights under the Due Process Clause of the Fifth Amendment because the Committees questions acted as a pretrial of the state charges
The United States District Court for the District of Columbia found the union president guilty of contempt of Congress On appeal the United States Court of Appeals for the District of Columbia Circuit affirmed the judgment Hutcheson appealed the appellate courts decision
",False
"Steven I. Engel, et al.","William J. Vitale, Jr., et al.","The New York State Board of Regents authorized a short voluntary prayer for recitation at the start of each school day A group of organizations joined forces in challenging the prayer claiming that it violated the Establishment Clause of the First Amendment The New York Court of Appeals rejected their arguments
",True
National Association for the Advancement of Colored People,Button,"The NAACP was prosecuted for violating a Virginia statute which banned the improper solicitation of any legal or professional business
",True
John E. Hodges,United States,"On April 30 1956 the Chicago Police Department arrested John E Hodges on charges of armed robbery On May 2 1956 two members of the District of Columbia Police Department traveled to Chicago and interrogated Hodges for about an hour before producing a written statement Hodges was returned to Washington DC indicted and pled guilty Hodges later withdrew his plea and entered a plea of not guilty On April 15 1957 Hodges went to trial and was found guilty He did not appeal
Three months later Hodges filed a motion in district court to vacate his sentence arguing that his confession was coerced and should not have been admitted into evidence at trial The motion was denied without a hearing Hodges appealed and the US Court of Appeals for the District of Columbia Circuit affirmed
",False
Robinson,California,"A jury found defendant guilty under a California statute that criminalized being addicted to narcotics His conviction was affirmed on appeal Defendant sought further review from the United States Supreme Court 
",True
Theodore R. Gibson,Florida Legislative Investigation Committee,"In the wake of the Supreme Courts ruling in Brown v Board of Education the National Association for the Advancement of Colored People NAACP received much criticism from state legislators as it pushed ahead with litigation to combat segregation The State of Florida in 1959 established a Legislative Investigation Committee to study what were called subversive organizations Gibson president of the Miami branch of the NAACP was subpoenaed before the committee and asked to produce a membership list of his organization He refused and was found in contempt
",True
"Fong Foo, Robert Knupp, Standard Coil Products Co. ",United States,"Standard Oil Co and two employees Fong Foo and Robert Knupp were tried for conspiracy and concealing material facts within the jurisdiction of a governmental agency  The group allegedly falsified tests on goods manufactured at Standard Oils plant  Before the government finished presenting their case the district court judge directed the jury to return verdicts of acquittal for all parties on all counts  He then entered formal judgments of acquittal on the grounds of improper conduct by the Assistant US States Attorney and a lack of credibility in the testimony of government witnesses  The United States filed for a writ of mandamus from the US Court of Appeals for the First Circuit asking the court of vacate the judgments and order a new trial  The court granted the writ holding that the district court did not have the power to direct the judgment of acquittal
",True
John Joseph Killian,United States,"John Joseph Killian was an employee at the AllenBradley Company in Milwaukee Wisconsin and a member of Local 1111 United Electrical Radio and Machine Workers of America From October of 1952 to February 28 1953 Killian served as an officer of Local 1111 On December 9 1952 the president of Local 1111 ordered all officers to come to the union office to execute affidavits stating that they were not members of the Communist Party in accordance with the TaftHartley Act
As early as the fall of 1949 Killian was a member of the Communist party group on the campus of the University of Wisconsin and in the city of Madison Wisconsin Killian held a number of the groups meetings in his home Government witness Sullivan transferred his Communist Party membership to Madison in October 1949 Killian contacted him in his role assigning individuals to Communist Party groups or cells In November of 1951 Killian and others formed a Communist Party cell to operate within the AllenBradley plant Killian suggested to a government witness and coworker Ondrejka that both should become stewards of Local 1111 to advance party aims within the union both subsequently became officers and participated in union meetings
Killian was charged with making false statements in an affidavit At trial both Sullivan and Onrejka testified that they joined the Communist Party at the request of the Federal Bureau of Investigation On crossexamination Sullivan and Ondrejka testified that the FBI paid them monthly amounts for their services and were reimbursed for expenses incurred in Communist Party activities Killian moved for production of all statements given by Sullivan and Ondrejka to the FBI with a particular focus on reports made by Ondrejka of his reimbursable expenses and receipts signed by Ondrejka Killian requested this evidence to impeach the witnesses testimony Killian also moved to strike both Sullivan and Ondrejkas testimony The government instead offered to produce a list showing the dates and amounts of payments to Ondrejka and whether each payment was for services or expenses Killian refused this substituted evidence and the district court denied Killians motions The United States Court of Appeals for the Seventh Circuit upheld Killians conviction holding that the district judge properly excluded the requested reports and receipts because they were not related to the direct testimony of the witnesses
",True
Goldblatt,Town of Hempstead,"Herbert Goldblatt owned 38 acres of land within the Town of Hempstead town and often used the land for his business of mining sand and gravel During excavation water filled the crater which widened and deepened The town expanded around the excavation and later enacted a series of ordinances to regulate mining excavation within its limits In 1958 the town amended an ordinance to prohibit excavation below the water table and impose a duty refill any excavation currently below the level In 1959 the town sued Goldblatt for not complying with the ordinance Goldblatt argued the ordinance is unconstitutional because it was not regulatory but rather represented the town confiscating his property without compensation The Court of Appeals of New York held for the Town of Hempstead allowing them to enforce the prohibition and the US Court of Appeals for the Second Circuit affirmed the decision
",False
"Lehigh Valley Cooperative Farmers, Inc., et al.","United States, et al.","In accordance with the Agricultural Marketing Agreement Act of 1937 the Secretary of Agriculture promoted milkmarketing orders in the New YorkNew Jersey region that included compensatory payment provisions The provisions in question required those who buy milk elsewhere and bring it into the region to pay the farmers who supply that region a compensatory payment The petitioners were milk processing plant operators in Pennsylvania who challenged the validity of the compensatory payment provisions by arguing that they failed notice requirements and conflicted with other provisions of the Act that required uniform prices The district court held these provisions to be invalid but the US Court of Appeals for the Third Circuit reversed and upheld the validity of the provisions as authorized by the Act
",True
Norton Anthony Russell ,United States,"Six individuals were indicted and convicted for refusing to answer pertinent questions before a grand jury  Each of the individuals moved to squash the conviction because they were not told what the subject of the inquiry was so had no basis for determining what questions were pertinent  The US Court of Appeals for the District of Columbia affirmed the convictions
",True
Charles Townsend,"Frank G. Sain, Sheriff of Cook County, Illinois","The Chicago police arrested and detained Frank Townsend a drug addict in connection with a murder After several hours of questioning Townsend began going into withdrawal and asked for a doctor A doctor gave him a medicine Townsend alleges was a truth serum While under the influence of the medication Townsend confessed to the murder Townsend alleged that the medicine caused his confession and therefore was not admissible at trial Defendants disputed most of the facts surrounding the confession The Criminal Court of Cook County Illinois admitted the confession at a trial by jury The jury found Townsend guilty and sentenced him to death The Supreme Court of Illinois affirmed the conviction
Townsend subsequently petitioned for a writ of habeas corpus in the District Court for the Northern District of Illinois The District Court denied the writ without a hearing The Court of Appeals for the Seventh Circuit affirmed on the ground that the District Courts inquiry should be limited to undisputed portions of the record
",True
Ferguson,Skrupa,"A Kansas statute made it a misdemeanor to enter into contracts for debt adjusting a practice in which a debtor agrees to pay a monthly fee to an adjustor who then makes payments to the debtors creditor Skrupa was in business as a Credit Advisor and engaged in this practice A lower court held that the Kansas statute was an unreasonable regulation of a lawful business and struck it down
",True
John Thomas Avent et al.,North Carolina,"S H Kress and Company operated a general variety store on Main Street in Durham North Carolina On the first floor Kress had a standup counter where it served food and drinks to both black and white customers On the basement floor however Kress operated a luncheonette department with signs posted stating that it was for employees and invited guests only
On May 6 1960 seven students tried to seat themselves at the luncheonette counter Five including John Thomas Avent were black students at North Carolina College for Negroes in Durham The other two were white students at Duke University All seven were involved with civil rights student organizations to varying degrees Before each sat down the stores manager W K Boger spoke with the students individually He told them that the luncheonette department was for employees and invited guests only and asked them to leave Both white students however were only asked to leave when it became clear they were sitting with one or more black customers When the students refused to leave Boger called an officer of the Durham police department who arrested the students and charged them with trespassing
At trial Boger testified that it was Kress policy to refuse service to black customers at the luncheonette department and to refuse service to white people in the company of black people The district court convicted all seven defendants of trespassing On appeal the North Carolina Supreme Court affirmed the ruling Noting that North Carolina had no laws mandating the separation of white and black customers in restaurants the court upheld proprietors common law right to exclude individuals on the basis of race
",True
James H. Gray et al.,James O'Hear Sanders,"Since the beginning of the 20th century the State of Georgia used a county unit system for counting votes in primary elections Under this system the candidate who received the highest number of votes in a county would receive all of that countys unit votes The overall winning candidate would then have to receive a majority of the county unit votes statewide This system ended up giving rural counties a majority of the unit votes even though rural counties made up only about a third of the population as of the 1960s
In 1962 James OHear Sanders a voter in Georgias most populous county brought suit against several representatives of the Georgia State Democratic Executive Committee and the Secretary of State of Georgia Sanders claimed that the county unit system violated the Equal Protection Clause and the Due Process Clause of the Fourteenth Amendment and the Seventeenth Amendment As a voter within one of the urban counties Sanders claimed his vote had less of an influence on the nomination of candidates than that of a rural voter A special threejudge panel of the United States District Court for the Northern District of Georgia agreed with Sanders and held that the county unit system violated the Equal Protection Clause However the district court did not outlaw the county unit system entirely The State appealed directly to the Supreme Court of the United States
",False
"School District of Abington Township, Pennsylvania",Edward Lewis Schempp,"Under Pennsylvania law public schools were required to read from the bible at the opening of each school day The school district sought to enjoin enforcement of the statute The district court ruled that the statute violated the First Amendment even after the statute had been amended to permit a student to excuse himself 
The Court consolidated this case with one involving Maryland atheists who challenged a city rule that provided for opening exercises in the public schools that consisted primarily of reading a chapter from the bible and the Lords Prayer The states highest court held the exercise did not violate the First Amendment The religious character of the exercise was admitted by the state 
",False
Raymond L. Haynes ,Washington,"On the evening of December 19 1957 Spokane police officers arrested Raymond L Haynes near a gas station that had just been robbed Haynes admitted to the robbery as officers drove him to the police station and he signed a written confession after he was told that he could not call his wife until he signed it At trial Haynes argued that the confession was inadmissible because it was involuntary and coerced The judge admitted the confession into evidence and the jury found Haynes guilty Haynes appealed and the Washington Supreme Court affirmed the conviction
",True
Clarence Earl Gideon,"Louie L. Wainwright, Director, Division of Corrections","Clarence Earl Gideon was charged in Florida state court with felony breaking and entering When he appeared in court without a lawyer Gideon requested that the court appoint one for him According to Florida state law however an attorney may only be appointed to an indigent defendant in capital cases so the trial court did not appoint one Gideon represented himself in trial He was found guilty and sentenced to five years in prison Gideon filed a habeas corpus petition in the Florida Supreme Court arguing that the trial courts decision violated his constitutional right to be represented by counsel The Florida Supreme Court denied habeas corpus relief
",True
German S. Lopez,United States,"On August 31 1961 Internal Revenue Agent Roger S Davis visited Clausons Inn located in North Falmouth Massachusetts as part of an investigation into possible tax evasion He spoke with German S Lopez who operated the inn to determine whether there was any dancing or other form of evening entertainment Lopez denied it but when Davis returned later that night he saw dancing in the lounge and bar On October 21 Davis returned to tell Lopez that the Inn might owe a cabaret tax and requested the Inns financial records Lopez suggested that the two could reach an agreement and offered Davis 420 with a promise of more money if he dropped the issue In Lopezs version of the events the money was for Davis to prepare the paperwork and put the Inns books in order Lopez agreed to file paperwork for the current quarter and asked Davis to come back on October 24 Davis reported the meeting and turned the money over to his superior When he returned on October 24 Davis wore a recording device As they discussed Lopezs tax liability Lopez emphasized that he wanted Davis on his side and gave him more money 
Lopez was charged with four counts of attempted bribery of an internal revenue agent Prior to trial Lopez filed a motion to suppress the recorded evidence and the motion was denied He was convicted on three of the counts in district court Although the defense did not focus on entrapment the trial court judge provided jury instructions on the issue The United States Court of Appeals for the First Circuit affirmed 
",False
"Florida Lime & Avocado Growers, Inc.",Paul,"California prohibited the sale or transportation within its borders of avocados that did not meet a certain standard of maturity which was defined according to oil content in its Agricultural Code The federal Secretary of Agriculture used a different system for determining the maturity of avocados that were grown in Florida Oil content was not a factor in these standards Florida avocado growers tried to prevent the enforcement of the California law against them with regard to avocados that met the federal standard for maturity but did not have the oil level required by the California law 
",True
"Louis McNeese, Jr., a minor, by Mabel McNeese, his mother and next friend et al. ","Board of Education for Community Unit School Dist. 187, Cahoka, IL et al.","African American students in District 187 sued the school under the Civil Rights Act alleging violations of the Fourteenth Amendment While the school district contained an almost identical number of Caucasian and African American students the petitioners alleged that the two races were taught in separate parts of the building and were compelled to use separate entrances and exits The district court dismissed the complaint for failure exhaust administrative the remedies available under an Illinois law prohibiting segregation public schools The US Court of Appeals for the Seventh Circuit affirmed
",True
Federal Power Commission,Tennessee Gas Transmission Company,"In 1959 Tennessee Gas Transmission Company filed a 7 proposed rate increase across all six of its zones with the Federal Power Commission The rate increase was based on the expected cost of service and rate of return The Commission imposed a fivemonth suspension period while hearings were conducted to determine whether the rate increase was reasonable At the end of five months the new rates would be applied but they were subject to refund if the hearings found a reasonable rate lower than 7 On August 9 1960 the Commission found that only a 6 18 increase was reasonable and that Tennessee Gas must provide refunds 
Tennessee Gas challenged the ruling by arguing that requiring a refund prior to a final determination of cost made the company unable to recoup its 6 18 Because Tennessee Gas spreads its rates differently across the different zones there are certain zones in which the refund would be greater than the value of the new rate The United States Court of Appeals for the Fifth Circuit found in favor of Tennessee Gas
",True
John L Brady,Maryland,"A Maryland jury found John Brady and Charles Boblit guilty of firstdegree murder in the state Circuit Court of Anne Arundel County  Brady maintained that he participated in the preceding robbery but not in the killing  At sentencing both men received the death penalty  After trial Brady learned that Boblit previously confessed to the murder but the prosecution suppressed that evidence for Bradys trial  On appeal the Maryland Court of Appeals held that suppression of the confession denied Brady due process and remanded the case to reconsider the question of punishment only
",True
Sherbert,Verner,"Adeil Sherbert a member of the Seventhday Adventist Church was fired from her job after she refused to work on Saturday the Sabbath Day of her faith The Employment Security Commission ruled that she could not receive unemployment benefits because her refusal to work on Saturday constituted a failure without good cause to accept available work Under South Carolina law employers were not allowed to require employees to work on Sunday 
 
",True
Best,Humboldt Placer Mining Company,"In order to gain immediate possession of public land needed to build a dam the United States sued in the United States District Court for the Northern District of California Northern Division to condemn any outstanding mining claims on the land The complaint asked the court to allow the United States to have the validity of any claims determined through administrative proceedings before the Bureau of Land Management of the Department of the Interior Respondents sued to enjoin the administrative proceedings but the District Court granted the United States summary judgment holding that the court should wait for the administrative determination before proceeding with any mining claim The Court of Appeals for the Ninth Circuit reversed stating that because the United States initiated the condemnation suit in District Court the validity of mining claims must be left to the judiciary
",True
William L. Griffin et al.,Maryland,"On June 30 1960 several white and black people picketed the private Glen Echo Amusement Park in Montgomery County Maryland The demonstrators protested against the parks policy not to have colored people on the rides or in the park During the demonstration William Griffin and four other Negroes entered the park to test its managements resolve A state deputy who worked as a security staff member in the park soon observed them After informing them of the parks racial policy the deputy asked them to leave When Griffin and his friends refused they were arrested and later convicted for criminal trespass State appellate courts affirmed the convictions The Supreme Court granted certiorari
",True
Edwards,South Carolina,"187 black students were convicted in a magistrates court of breach of the peace for peacefully assembling at the South Carolina State Government Their purpose was to submit a protest of grievances to the citizens of South Carolina and to the legislative bodies of South Carolina During the course of the peaceful demonstration the police arrested the students after they did not obey an order to disperse The students were convicted of breach of the peace After their convictions were affirmed by the state supreme court the students sought further review They contended that there was a complete absence of any evidence of the commission of the offense and that they were thus denied due process of law
",True
Malloy,Hogan,"William Malloy was arrested during a gambling raid in 1959 by Hartford Connecticut police After pleading guilty to pool selling a misdemeanor he was sentenced to one year in jail and fined 500 but the sentence was suspended after 90 days and Malloy was placed on two years probation Some 16 months following his plea a Superior Court appointed referee ordered Malloy to testify about gambling and other criminal activities in Hartford County When Malloy refused on grounds it may tend to incriminate him he was imprisoned for contempt and held until willing to answer questions Malloy filed a habeas corpus petition challenging his confinement On appeal from the Connecticut Supreme Court of Errors ruling upholding an adverse Superior Court denial the Supreme Court granted certiorari
",True
Bell,Maryland,"A group of 1520 AfricanAmerican students entered Hoopers restaurant in Baltimore to engage in a sitin to protest the restaurants refusal to serve AfricanAmerican patrons They refused to leave when requested to do so by the hostess on behalf of Mr Hooper the president of the corporation that owned the restaurant Mr Hooper called the police who told him that they needed a warrant to be able to do anything After Mr Hooper swore out a warrant the students were arrested for violating a Maryland statute prohibiting trespassing The Maryland Court of Appeals affirmed the convictions
",True
Banco Nacional de Cuba,Peter L.F. Sabbatino et al.,"Farr Whitlock amp Co contracted to buy sugar from a Cuban corporation  The corporation loaded the sugar on to the SS Hornfels but in response to President Eisenhower reducing the Cuban sugar quota Cuba issued a decree taking possession of the sugar  The Cuban government would only allow the sugar to leave Cuba if Farr Whitlock entered into a new contract with Banco Nacional de Cuba an instrumentality of the Cuban government  After the sugar left Cuba Farr Whitlock refused to pay Banco Nacional  Banco Nacional sued in the US District Court for the Southern District of New York to recover payment  The court granted summary judgment for Far Whitlock holding that Cubas taking of the sugar violated international law  The US Court of Appeals for the Second Circuit affirmed
",True
